Implementation,LUTs,FFs,Logic Levels,LL-1,LL+1,High Fanout,HF-1,HF+1,Cumulative Fanout,CF-1,CF+1,Routes,Routes-1,Routes+1,Requirement,Req-1,Req+1,Path Delay,PD-1,PD+1,Slack,Slack-1,Slack+1,Logic Delay,LD-1,LD+1,Net Delay,ND-1,ND+1
../syn/I016_O016_D003_BITONIC_TOPVHDL-freq320retfan10000,1337,743,8,0,0,23,3,1,41,3,1,8,1,1,3.125,3.125,0.000,2.890,0.935,0.383,0.083,2.018,inf,1.039(36%),0.473(51%),0.095(25%),1.851(64%),0.462(49%),0.288(75%)
../syn/I016_O016_D003_BUCKET-freq80retfan10000,48051,103,350,0,0,175,1,1,5593,1,1,351,1,0,12.500,12.500,12.500,105.722,1.158,0.549,-93.027,11.202,11.354,40.739(39%),0.094(9%),0.486(89%),64.983(61%),1.064(91%),0.063(11%)
../syn/I016_O016_D003_CSN_VHDL-freq160retfan10000,1018,442,8,0,0,3,1,1,18,1,1,8,0,1,6.250,6.250,0.000,4.024,0.554,0.354,2.113,5.623,inf,1.087(28%),0.486(88%),0.095(27%),2.937(72%),0.068(12%),0.259(73%)
../syn/I016_O016_D003_CSN_VHDL-freq160x320retfan10000,1090,524,8,0,0,4,1,1,20,1,1,8,0,1,6.250,6.250,0.000,4.017,0.561,0.664,2.011,5.606,inf,1.131(29%),0.483(87%),0.095(15%),2.886(71%),0.078(13%),0.569(85%)
../syn/I016_O016_D003_CSN_VHDL-freq280retfan10000,1052,442,9,0,0,2,1,1,19,1,1,9,0,1,3.572,3.572,0.000,3.116,0.565,0.667,0.323,2.924,inf,1.195(39%),0.488(87%),0.096(15%),1.921(61%),0.077(13%),0.571(85%)
../syn/I016_O016_D003_CSN_VHDL-freq320retfan10000,1091,524,8,3,8,10,7,9,30,15,25,8,4,8,3.125,3.125,3.125,2.754,1.569,1.990,0.280,1.459,1.094,1.034(38%),0.381(25%),0.860(44%),1.720(62%),1.188(75%),1.130(56%)
../syn/I016_O016_D003_IORET-freq160retfan10000,5925,1199,30,9,0,43,19,1,299,83,1,31,9,0,6.250,6.250,6.250,12.411,5.900,0.549,-6.347,0.225,5.623,3.851(32%),1.305(23%),0.486(89%),8.560(68%),4.595(77%),0.063(11%)
../syn/I016_O016_D003_IORET-freq160retfan16,6514,1222,32,7,8,14,11,16,187,38,41,32,7,9,6.250,6.250,6.250,13.498,4.973,5.682,-7.345,1.071,0.296,3.369(25%),0.993(20%),0.900(16%),10.129(75%),3.980(80%),4.782(84%)
../syn/I016_O016_D003_IORET-freq320retfan10000,6065,1197,36,6,1,38,23,1,310,53,2,36,7,1,3.125,3.125,3.125,14.899,6.410,0.558,-11.683,-3.421,2.142,4.648(32%),0.804(13%),0.135(25%),10.251(68%),5.606(87%),0.423(75%)
../syn/I016_O016_D003_IORET-freq320retfan16,6503,1216,33,6,8,16,9,12,253,34,57,34,7,8,3.125,3.125,3.125,15.790,5.785,5.942,-12.579,-2.848,-3.072,3.637(24%),0.786(14%),1.129(20%),12.153(76%),4.999(86%),4.813(80%)
../syn/I016_O016_D003_IORET-freq40retfan10000,4634,256,56,0,0,49,1,1,789,1,1,57,0,0,25.000,25.000,25.000,24.152,0.562,0.542,0.689,24.365,24.363,6.656(28%),0.480(86%),0.473(88%),17.496(72%),0.082(14%),0.069(12%)
../syn/I016_O016_D003_IORET-freq40retfan16,4908,768,56,0,0,32,1,1,379,1,1,56,1,1,25.000,25.000,25.000,24.515,0.823,0.330,0.370,24.053,24.563,6.682(28%),0.096(12%),0.096(30%),17.833(72%),0.727(88%),0.234(70%)
../syn/I016_O016_D003_IORET-freq80retfan10000,5655,1139,33,7,1,30,21,1,273,64,2,33,7,1,12.500,12.500,12.500,14.423,6.169,0.362,-1.958,6.149,11.895,3.537(25%),1.007(17%),0.134(38%),10.886(75%),5.162(83%),0.228(62%)
